book,bookKey,eventIndex,field,englishText,teluguText,issue
Deuteronomy,book,2,title,Blessings and Curses,Blessings and Curses,identical_to_english
Deuteronomy,book,2,text,All these blessings will come on you and accompany you if you obey the LORD your God.,All these blessings will come on you and accompany you if you obey the LORD your God.,identical_to_english
Deuteronomy,book,3,title,Death of Moses,Death of Moses,identical_to_english
Deuteronomy,book,3,text,And Moses the servant of the LORD died there in Moab.,And Moses the servant of the LORD died there in Moab.,identical_to_english
Joshua,book,1,title,Fall of Jericho,Fall of Jericho,identical_to_english
Joshua,book,1,text,"When the trumpets sounded, the wall collapsed; so every man charged straight in, and they took the city.","When the trumpets sounded, the wall collapsed; so every man charged straight in, and they took the city.",identical_to_english
Joshua,book,2,title,Sun Stands Still,Sun Stands Still,identical_to_english
Joshua,book,2,text,"So the sun stood still, and the moon stopped, till the nation avenged itself on its enemies.","So the sun stood still, and the moon stopped, till the nation avenged itself on its enemies.",identical_to_english
Judges,book,1,title,Gideon's Victory,Gideon's Victory,identical_to_english
Judges,book,1,text,They blew their trumpets and broke the jars... and the Midianite army fled.,They blew their trumpets and broke the jars... and the Midianite army fled.,identical_to_english
Judges,book,2,title,Samson and Delilah,Samson and Delilah,identical_to_english
Judges,book,2,text,"Samson said, 'Let me die with the Philistines!' Then he pushed with all his might, and the temple fell.","Samson said, 'Let me die with the Philistines!' Then he pushed with all his might, and the temple fell.",identical_to_english
Ruth,book,1,title,Ruth Meets Boaz,Ruth Meets Boaz,identical_to_english
Ruth,book,1,text,May the LORD repay you for what you have done.,May the LORD repay you for what you have done.,identical_to_english
Ruth,book,2,title,Ruth Marries Boaz,Ruth Marries Boaz,identical_to_english
Ruth,book,2,text,So Boaz took Ruth and she became his wife.,So Boaz took Ruth and she became his wife.,identical_to_english
1 Samuel,book,1,title,Samuel Hears God,Samuel Hears God,identical_to_english
1 Samuel,book,1,text,"The LORD came and stood there, calling as at the other times, 'Samuel! Samuel!'","The LORD came and stood there, calling as at the other times, 'Samuel! Samuel!'",identical_to_english
1 Samuel,book,2,title,Saul Anointed King,Saul Anointed King,identical_to_english
1 Samuel,book,2,text,"Samuel took a flask of oil and poured it on Saul's head and kissed him, saying, 'Has not the LORD anointed you ruler over his inheritance?'","Samuel took a flask of oil and poured it on Saul's head and kissed him, saying, 'Has not the LORD anointed you ruler over his inheritance?'",identical_to_english
1 Samuel,book,3,title,David and Goliath,David and Goliath,identical_to_english
